time,open,high,low,close,volume
01.01.2026 20:00:00,4323.69800,4351.00500,4323.19800,4347.80500,1834150
02.01.2026 00:00:00,4347.79800,4375.39800,4341.07500,4374.74800,14848460
02.01.2026 04:00:00,4374.75900,4383.16500,4370.59800,4382.52500,12923630
02.01.2026 08:00:00,4382.54500,4398.99800,4380.55500,4392.53500,13223440
02.01.2026 12:00:00,4392.56500,4401.92800,4330.06500,4335.09500,24022201
02.01.2026 16:00:00,4335.05500,4337.09500,4309.61800,4317.84500,19580820
02.01.2026 20:00:00,4317.81500,4333.16500,4316.92500,4331.57500,6485180
04.01.2026 20:00:00,4360.87500,4375.66500,4344.42500,4372.34500,4462060
05.01.2026 00:00:00,4372.27500,4421.19500,4370.02500,4399.61500,28633140
05.01.2026 04:00:00,4399.64500,4426.09500,4397.00500,4421.46500,21778810
05.01.2026 08:00:00,4421.46500,4439.67500,4410.28500,4419.03500,20852410
05.01.2026 12:00:00,4419.06500,4455.42500,4396.04500,4448.27500,24415590
05.01.2026 16:00:00,4448.25500,4454.12500,4432.09500,4439.48500,15176290
05.01.2026 20:00:00,4439.44800,4459.81500,4436.55500,4440.28500,7721740
06.01.2026 00:00:00,4440.28500,4467.88500,4427.72500,4467.30500,18425670
06.01.2026 04:00:00,4467.29800,4473.91500,4449.19800,4459.12500,16593720
06.01.2026 08:00:00,4459.10500,4475.48500,4442.09500,4462.94800,28934110
06.01.2026 12:00:00,4463.04800,4490.61500,4453.53500,4478.02500,37964600
06.01.2026 16:00:00,4477.97800,4493.77500,4471.17800,4481.19500,27691510
06.01.2026 20:00:00,4481.15500,4500.34800,4480.13500,4493.23500,10594050
07.01.2026 00:00:00,4493.18500,4495.59500,4459.30800,4474.50500,19910990
07.01.2026 04:00:00,4474.52500,4475.75500,4441.24800,4460.93500,18312154
07.01.2026 08:00:00,4460.78500,4474.64800,4446.25500,4447.13500,15061310
07.01.2026 12:00:00,4447.50500,4454.80500,4423.13500,4445.89500,27273110
07.01.2026 16:00:00,4445.84500,4468.07500,4443.61500,4456.87500,34741850
07.01.2026 20:00:00,4456.83500,4463.73500,4449.68800,4463.20500,8374840
08.01.2026 00:00:00,4463.14500,4466.07500,4433.27500,4439.92500,20723080
08.01.2026 04:00:00,4439.92500,4440.25500,4415.21500,4430.74500,20030480
08.01.2026 08:00:00,4430.72500,4435.14500,4419.43800,4422.67500,13640860
08.01.2026 12:00:00,4422.73500,4456.31500,4407.48500,4454.01500,27109040
08.01.2026 16:00:00,4454.03500,4465.16500,4444.56500,4451.89500,31810050
08.01.2026 20:00:00,4451.87500,4483.54800,4451.28500,4475.48500,9552920
09.01.2026 00:00:00,4475.44500,4476.67500,4452.58500,4463.90500,15211860
09.01.2026 04:00:00,4463.87500,4477.12500,4457.98500,4469.93500,10887450
09.01.2026 08:00:00,4470.02500,4477.44500,4463.90500,4475.04800,9961210
09.01.2026 12:00:00,4474.99500,4516.89800,4458.59500,4511.98800,38434740
09.01.2026 16:00:00,4511.98800,4513.90800,4481.61500,4498.92500,29969130
09.01.2026 20:00:00,4498.86500,4510.99800,4497.40500,4509.01500,9155360
11.01.2026 20:00:00,4520.29800,4544.73500,4511.89800,4539.85500,4201390
12.01.2026 00:00:00,4539.77500,4601.04800,4536.05500,4570.28500,26947590
12.01.2026 04:00:00,4570.30500,4589.46500,4563.11800,4587.48500,16294410
12.01.2026 08:00:00,4587.45500,4599.24500,4579.23500,4584.99500,12706880
12.01.2026 12:00:00,4585.01500,4627.27500,4578.14500,4621.13500,27720740
12.01.2026 16:00:00,4620.76500,4629.97500,4600.21500,4610.97500,18415990
12.01.2026 20:00:00,4611.01500,4611.62500,4577.33500,4599.09500,13740240
13.01.2026 00:00:00,4599.20500,4599.45500,4575.27500,4593.95500,15329360
13.01.2026 04:00:00,4593.92500,4601.94500,4573.32500,4580.44500,12190920
13.01.2026 08:00:00,4580.49500,4596.85500,4579.50500,4588.36500,10307900
13.01.2026 12:00:00,4588.43500,4634.28500,4577.61500,4618.90500,29857925
13.01.2026 16:00:00,4618.88500,4620.44500,4580.83500,4597.30500,29466720
13.01.2026 20:00:00,4597.32500,4598.65500,4569.18500,4596.80500,12416580
14.01.2026 00:00:00,4596.79500,4629.86500,4596.74500,4627.95500,14439751
14.01.2026 04:00:00,4627.97500,4639.53500,4617.68500,4632.14500,18965520
14.01.2026 08:00:00,4632.12500,4639.42500,4621.26500,4630.14500,12670820
14.01.2026 12:00:00,4630.37500,4641.59500,4599.16500,4617.71500,26382577
14.01.2026 16:00:00,4617.73500,4642.69500,4600.98500,4638.99500,25336690
14.01.2026 20:00:00,4639.04500,4641.33500,4602.57500,4615.01500,13318910
15.01.2026 00:00:00,4614.93500,4617.91500,4580.92500,4592.01500,20554440
15.01.2026 04:00:00,4592.01500,4613.36500,4580.81500,4601.56500,14975660
15.01.2026 08:00:00,4601.58500,4622.75500,4597.68500,4619.00500,11654060
15.01.2026 12:00:00,4619.10500,4620.55500,4582.13500,4615.14500,33725260
15.01.2026 16:00:00,4615.16500,4624.32500,4600.97500,4615.63500,23633070
15.01.2026 20:00:00,4615.63500,4620.44800,4600.39900,4609.85500,15878190
16.01.2026 00:00:00,4609.83500,4610.84500,4590.97500,4596.11500,16328870
16.01.2026 04:00:00,4596.05500,4615.73500,4593.86500,4607.28500,18266850
16.01.2026 08:00:00,4607.24500,4615.96500,4598.28500,4612.33500,9600250
16.01.2026 12:00:00,4612.36500,4620.03500,4536.51500,4570.85500,28137370
16.01.2026 16:00:00,4570.83500,4598.83500,4567.13800,4590.24500,21322640
16.01.2026 20:00:00,4590.28500,4598.08500,4580.33500,4595.51500,9399440
18.01.2026 20:00:00,4625.75500,4690.26500,4618.98800,4672.36500,5932300
19.01.2026 00:00:00,4672.37500,4681.73500,4652.84500,4658.04800,17752570
19.01.2026 04:00:00,4658.20800,4678.85500,4657.89800,4664.95500,14680000
19.01.2026 08:00:00,4664.95500,4673.65500,4659.42500,4660.29500,9801860
19.01.2026 12:00:00,4660.33500,4675.95500,4659.82500,4674.05500,13029660
19.01.2026 16:00:00,4674.08500,4680.10500,4666.84800,4669.97500,6789640
19.01.2026 20:00:00,4671.29800,4676.44800,4664.18500,4665.13500,1517840
20.01.2026 00:00:00,4665.14500,4681.35500,4659.24500,4679.98500,12789430
20.01.2026 04:00:00,4679.96500,4722.50500,4679.40500,4715.91500,14377650
20.01.2026 08:00:00,4715.94500,4737.28500,4714.74500,4732.88500,13126040
20.01.2026 12:00:00,4732.67800,4750.83500,4715.07500,4737.21500,31478610
20.01.2026 16:00:00,4737.23500,4766.14500,4728.68500,4760.55500,21071770
20.01.2026 20:00:00,4760.50500,4780.89500,4747.04800,4775.62500,10690700
21.01.2026 00:00:00,4775.60500,4849.54500,4770.19800,4844.73500,17588753
21.01.2026 04:00:00,4844.67500,4888.07500,4832.37500,4855.05500,17881320
21.01.2026 08:00:00,4855.07500,4876.96500,4851.32500,4866.70500,11086630
21.01.2026 12:00:00,4866.73500,4880.63500,4812.41500,4847.50500,23858800
21.01.2026 16:00:00,4847.53500,4855.43500,4755.34500,4780.99500,27666900
21.01.2026 20:00:00,4780.85800,4839.53500,4771.91500,4777.91500,13564530
22.01.2026 00:00:00,4777.87500,4809.40500,4772.18500,4796.36500,16687140
